公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利,最低年限,经验,最低工资,月最低工资
上海海万信息科技股份有限公司,江苏亿科达,500-2000人,不需要融资,浦东新区,大数据工程师,3-5年,大专,10k-15k,大平台,"['3', '5']",3,"['10', '15']",10
源杉信息技术（上海）有限公司,源杉FIR.ai,15-50人,天使轮,杨浦区,大数据工程师,3-5年,本科,15k-30k,"深度学习,股权激励,大牛团队,发展前景大","['3', '5']",3,"['15', '30']",15
新蛋信息技术（中国）有限公司,新蛋信息技术（中国）有限公司,500-2000人,不需要融资,静安区,大数据工程师,3-5年,本科,16k-22k,"成熟平台,大流量电商,技术氛围好,发展空间大","['3', '5']",3,"['16', '22']",16
上海青客公共租赁住房租赁经营管理股份有限公司,上海青客,500-2000人,C轮,徐汇区,大数据工程师,3-5年,大专,15k-25k,年终奖，加班补贴，工作环境,"['3', '5']",3,"['15', '25']",15
深圳市金证科技股份有限公司,金证股份,2000人以上,上市公司,浦东新区,大数据工程师,3-5年,本科,10k-18k,"环境好,待遇好,奖金,旅游","['3', '5']",3,"['10', '18']",10
上海厚本金融信息服务有限公司,厚本金融,2000人以上,A轮,黄浦区,大数据工程师,1-3年,本科,10k-20k,学习空间大,"['1', '3']",1,"['10', '20']",10
四川斐讯信息技术有限公司,斐讯技术,2000人以上,不需要融资,松江区,大数据工程师,3-5年,本科,20k-30k,"晋升空间大,绩效奖金","['3', '5']",3,"['20', '30']",20
证通股份有限公司,证通股份,150-500人,不需要融资,浦东新区,大数据工程师,1-3年,本科,20k-33k,工作环境好,"['1', '3']",1,"['20', '33']",20
上海融之家金融信息服务有限公司,融之家,150-500人,B轮,杨浦区,大数据开发工程师,5-10年,大专,30k-35k,"环境高大上,年度国外游,美女鼓励师,年终奖丰厚","['5', '10']",5,"['30', '35']",30
上海趋佳信息科技有限公司,Each+,15-50人,天使轮,浦东新区,大数据研发工程师,3-5年,本科,15K-20K,"股票期权,扁平管理","['3', '5']",3,"['15', '20']",15
上海众言网络科技有限公司,问卷网@爱调研,150-500人,B轮,徐汇区,大数据工程师,1-3年,本科,15k-30k,"弹性工作,绩效奖金,职业发展","['1', '3']",1,"['15', '30']",15
上海画龙信息科技有限公司,Datatist,15-50人,A轮,徐汇区,大数据工程师,不限,本科,15k-25k,"大数据公司,硅谷团队,股票期权,带薪假期",[],0,"['15', '25']",15
申通快递有限公司,申通快递,2000人以上,上市公司,青浦区,大数据工程师,3-5年,本科,15k-25k,五险一金 周末双休 节假日福利 技能培训,"['3', '5']",3,"['15', '25']",15
上海中通吉网络技术有限公司,中通快递,2000人以上,上市公司,青浦区,大数据系统开发工程师,5-10年,本科,20k-35k,"大数据,扁平化","['5', '10']",5,"['20', '35']",20
