公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
秒针信息技术有限公司,秒针系统,500-2000人,D轮及以上,朝阳区,算法工程师,1年以下,硕士,10k-20k,"大牛多,学习型组织"
北京慢点生活科技有限公司,动动,50-150人,B轮,朝阳区,应届生/实习生职位-算法工程师,应届毕业生,硕士,10k-20k,"千万用户,全球市场"
北京多牛互动传媒股份有限公司,多牛传媒,150-500人,上市公司,海淀区,算法工程师,1-3年,硕士,10k-20k,"五险一金,周末双休"
北京优加利信息科技有限公司,优加利企业,150-500人,B轮,昌平区,算法工程师,1-3年,硕士,10k-20k,"发展空间大,福利好,有班车,上市公司"
华慧视科技（天津）有限公司,华慧视科技,15-50人,上市公司,海淀区,算法工程师,1年以下,硕士,10k-20k,"提成,五险,晋升,调薪"
北京诺亦腾科技有限公司,诺亦腾,150-500人,C轮,西城区,算法工程师,不限,硕士,10k-20k,绩效，补充医疗，带薪年假，过节费等
北京星尘纪元智能科技有限公司,星尘数据,15-50人,A轮,朝阳区,算法工程师,不限,硕士,10k-20k,"极客团队,硅谷文化,百度阿里"
北京墨迹风云科技股份有限公司,墨迹天气,150-500人,C轮,朝阳区,算法工程师（应届）,不限,硕士,10k-20k,"5亿用户,六险一金,解决户口"
微梦创科网络科技（中国）有限公司,新浪微博,2000人以上,上市公司,海淀区,算法工程师（校招）,应届毕业生,硕士,10k-18k,"六险一金,氛围好,成长快,出境游"
北京贵合祥云科贸有限公司,北京贵合祥云,15-50人,不需要融资,朝阳区,算法工程师,不限,硕士,7k-12k,五险一金 行业领先薪酬待遇 零食不限量
深圳晶泰科技有限公司,晶泰科技,50-150人,B轮,海淀区,算法工程师,不限,硕士,12k-24k,"MIT大牛,五险一金,年底双薪,带薪年假"
北京星尘纪元智能科技有限公司,星尘数据,15-50人,A轮,朝阳区,实习算法工程师,应届毕业生,硕士,10k-20k,"股票弃权,极客文化"
国机智能技术研究院有限公司,国机智能技术研究院,50-150人,不需要融资,朝阳区,电机控制算法软件工程师,3-5年,硕士,10k-20k,"五险一金,补充医疗,福利补贴,发展前景好"
北京金风慧能技术有限公司,金风科技,2000人以上,上市公司,大兴区,算法工程师,3-5年,硕士,12K-20K,全球最具创新能力企业50强平台
北京航天宏图信息技术股份有限公司,北京航天宏图,500-2000人,D轮及以上,海淀区,算法工程师（北斗/GNSS）,不限,硕士,10k-20k,"五险一金,季度评优,餐补,项目奖金"
