公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
北京闲徕互娱网络科技有限公司,闲徕互娱,500-2000人,不需要融资,朝阳区,大数据工程师,3-5年,大专,15k-30k,"六险一金,绩效奖金,健身房,下午茶"
清枫（北京）科技有限公司,Max+&小黑盒,50-150人,A轮,朝阳区,大数据工程师,1-3年,本科,18k-30k,"北大博士,腾讯大牛,电竞大数据,期权激励"
杉数科技（北京）有限公司,杉数科技,50-150人,A轮,东城区,大数据工程师,3-5年,本科,20k-35k,补充医疗
北京易车互联信息技术有限公司,易车公司,2000人以上,上市公司,海淀区,JTCPJS-大数据工程师,3-5年,本科,20k-40k,"五险一金,出国机会,补充医疗"
北京值得买科技股份有限公司,什么值得买,150-500人,A轮,丰台区,大数据工程师,1-3年,硕士,15k-30k,"弹性工作制,六险一金,旅游体检,健身按摩"
北京凯声文化传媒有限责任公司,凯叔讲故事,150-500人,B轮,朝阳区,大数据工程师,5-10年,本科,20k-35k,"年终奖,餐补,孝养金,公司氛围好"
北京因果树网络科技有限公司,InnoTREE,50-150人,B轮,海淀区,大数据工程师,1-3年,本科,15k-30k,"10亿数据,75T数据"
北京商询科技有限公司,商询科技,50-150人,A轮,朝阳区,大数据工程师,5-10年,本科,25k-40k,五险一金
深圳市麦达数字股份有限公司,麦达数字,500-2000人,上市公司,朝阳区,大数据工程师,3-5年,本科,25k-35k,"上市公司,薪酬福利好,发展空间大"
北京木瓜移动科技有限公司,木瓜移动,150-500人,B轮,海淀区,大数据工程师,不限,本科,10k-20k,"国际化,五险一金,牛人多,年底双薪"
北京慕华信息科技有限公司,学堂在线,150-500人,B轮,海淀区,大数据工程师,不限,本科,15k-25k,"五险一金,交通补,免费早餐,生日趴"
北京一手科技有限公司,一手科技,150-500人,B轮,朝阳区,大数据工程师,5-10年,本科,20k-35k,"五险一金,年终奖金,期权激励,管理扁平"
北京当当网信息技术有限公司,当当网,2000人以上,上市公司,朝阳区,大数据工程师,5-10年,大专,30k-40k,"扁平架构,地铁周边,弹性制,福利丰厚"
北京安易信科技有限公司,安易信,50-150人,上市公司,海淀区,大数据工程师,不限,本科,25k-50k,"福利多多,扁平管理,年底多薪,带薪年假"
北京旷视科技有限公司,Face++,500-2000人,C轮,海淀区,大数据工程师,3-5年,本科,20k-40k,大牛多；前景好；人工智能；黑科技
北京千橡网景科技发展有限公司,人人网,2000人以上,上市公司,朝阳区,大数据工程师,3-5年,本科,10k-20k,"六险一金,弹性工作,上市公司"
北京瑞地科技有限公司,REDEFINE,150-500人,不需要融资,朝阳区,大数据工程师,不限,本科,18k-35k,"发展前景,晋升空间"
中化石油有限公司,中化能源科技有限公司,2000人以上,不需要融资,海淀区,大数据工程师,3-5年,本科,30k-40k,"充分授权,管理简化,体制创新,目标导向"
巧达科技（北京）有限公司,巧达数据,50-150人,C轮,海淀区,大数据工程师,3-5年,本科,20k-40k,"月餐补2k,期权换现金,半年涨薪,6个月年奖"
上海淇毓信息科技有限公司,奇虎360金融,500-2000人,未融资,朝阳区,大数据开发工程师,3-5年,本科,18k-25k,可以往多维度去发展
上海蔚来汽车有限公司,NIO蔚来,2000人以上,D轮及以上,朝阳区,大数据工程师,3-5年,本科,20k-40k,"六险一金,弹性办公,租房补贴,学霸团队"
光合新知（北京）科技有限公司,洋葱数学,150-500人,C轮,朝阳区,大数据开发工程师,3-5年,本科,20k-40k,"15天年假,免费早午餐,数据量大,弹性工作"
北京默契破冰科技有限公司,玩吧,150-500人,B轮,东城区,大数据研发工程师,5-10年,大专,25k-40k,"七险一金,免费午餐,弹性不打卡,季度旅游"
北京怡合春天科技有限公司,本木医疗,50-150人,不需要融资,朝阳区,大数据工程师,3-5年,本科,20k-30k,六险一金 14薪起 技术大牛多 发展空间大
车好多旧机动车经纪(北京)有限公司,瓜子二手车直卖网,2000人以上,C轮,海淀区,大数据开发工程师,5-10年,本科,30K-60K,大牛leader
北京玩在一起科技有限公司,玩加电竞,15-50人,A轮,朝阳区,大数据工程师,3-5年,本科,20k-35k,"技术大牛,偏平管理"
北京芯盾时代科技有限公司,Trusfort芯盾时代,50-150人,B轮,海淀区,大数据开发工程师,3-5年,本科,20k-35k,"五险一金,工作居住证,节日福利,出国旅游"
北京易观网络信息咨询有限公司,易观,150-500人,B轮,朝阳区,大数据研发工程师,3-5年,本科,20k-40k,互联网大数据领先品牌 弹性工作 快速成长
北京闲徕互娱网络科技有限公司,闲徕互娱,500-2000人,不需要融资,朝阳区,大数据开发工程师,5-10年,本科,15k-30k,"健身,六险一金"
北京明略软件系统有限公司,明略数据,150-500人,C轮,海淀区,大数据开发工程师,不限,本科,20k-40k,"大数据,可视化"
